year,source,tac
2005,Advice Ind,2200
2006,Advice Ind,2270
2007,Advice Ind,1500
2008,Advice Ind,1250
2009,Advice Ind,1350
2010,Advice Ind,1250
2011,Advice Ind,1302
2012,Advice Ind,1000
2013,Advice Ind,1093
2014,Advice Ind,1223
2015,Advice Ind,1050
2014,Advice Art,1023
2015,Advice Art,1125
2005,Catch Art,2236
2006,Catch Art,2091
2007,Catch Art,2090
2008,Catch Art,1558
2009,Catch Art,1681
2010,Catch Art,1467
2011,Catch Art,2189
2012,Catch Art,1980
2013,Catch Art,2156
2005,Management,3000
2006,Management,2700
2007,Management,2700
2008,Management,3000
2009,Management,3000
2010,Management,3400
2011,Management,3090
2012,Management,3090
2013,Management,3090
2014,Management,1098
2015,Management,1083
2014,Management,988
2015,Management,988
2008,Industry,3750
2010,Industry,3000
2011,Industry,3125
2012,Industry,3050
