year,source,tac
2005,Scientific Advice,2200
2006,Scientific Advice,2270
2007,Scientific Advice,1500
2008,Scientific Advice,1250
2009,Scientific Advice,1350
2010,Scientific Advice,1250
2011,Scientific Advice,1302
2012,Scientific Advice,1000
2013,Scientific Advice,1093
2014,Scientific Advice,1223
2015,Scientific Advice,1050
2005,Management,3000
2006,Management,2700
2007,Management,2700
2008,Management,3000
2009,Management,3000
2010,Management,3400
2011,Management,3090
2012,Management,3090
2013,Management,3090
2014,Management,1098
2015,Management,1083
2005,Catch,1809
2006,Catch,2455
2007,Catch,2358
2008,Catch,2883
2009,Catch,3018
2010,Catch,3293
2011,Catch,2298
2012,Catch,1934
2013,Catch,2158
2014,Catch,1056
2015,Catch,1078
